region,hero,map_name,map_type,win_rate,pick_rate
ASIA,ana,Route 66,,62.0,61.0
ASIA,ana,Paraíso,,61.6,50.5
ASIA,ana,Havana,,61.5,57.9
ASIA,ana,Dorado,,56.2,57.2
ASIA,ana,Rialto,,56.1,59.3
ASIA,ana,Blizzard World,,55.4,52.3
ASIA,ana,Colosseo,,55.0,40.6
ASIA,ana,Circuit Royal,,54.6,48.4
ASIA,ana,New Queen Street,,54.1,39.1
ASIA,ana,King's Row,,54.1,53.3
ASIA,ana,Watchpoint: Gibraltar,,53.3,63.4
ASIA,ana,Shambali Monastery,,53.3,47.4
ASIA,ana,Midtown,,53.2,47.2
ASIA,ana,Hollywood,,53.1,55.3
ASIA,ana,Ilios,,52.4,46.0
ASIA,ana,Eichenwalde,,51.9,44.3
ASIA,ana,Nepal,,51.3,38.5
ASIA,ana,Numbani,,51.0,60.3
ASIA,ana,Aatlis,,50.3,23.9
ASIA,ana,New Junk City,,50.2,30.7
ASIA,ana,Lijiang Tower,,49.3,39.6
ASIA,ana,Oasis,,48.4,35.4
ASIA,ana,Junkertown,,47.0,51.3
ASIA,ana,Runasapi,,46.9,33.5
ASIA,ana,Busan,,45.8,41.8
ASIA,ana,Samoa,,45.7,38.4
ASIA,ana,Esperança,,41.9,37.8
ASIA,ana,Suravasa,,40.1,30.9
US,ana,Route 66,,58.2,32.4
US,ana,Midtown,,57.0,25.1
US,ana,Watchpoint: Gibraltar,,56.0,37.5
US,ana,Dorado,,55.4,33.4
US,ana,Havana,,54.0,35.9
US,ana,Junkertown,,52.9,34.5
US,ana,Shambali Monastery,,51.0,26.0
US,ana,Runasapi,,49.5,14.7
US,ana,Rialto,,49.3,37.2
US,ana,Colosseo,,49.2,21.7
US,ana,King's Row,,49.2,27.5
US,ana,Circuit Royal,,49.1,28.1
US,ana,Samoa,,48.6,20.7
US,ana,Oasis,,48.3,14.3
US,ana,Ilios,,48.2,17.2
US,ana,Blizzard World,,48.1,25.1
US,ana,Hollywood,,47.5,31.9
US,ana,Lijiang Tower,,46.3,14.7
US,ana,Nepal,,45.6,15.9
US,ana,New Queen Street,,45.5,22.3
US,ana,Busan,,45.2,21.5
US,ana,Paraíso,,44.2,28.8
US,ana,Numbani,,43.8,33.2
US,ana,Suravasa,,42.8,12.7
US,ana,Eichenwalde,,42.8,21.5
US,ana,Aatlis,,38.1,10.4
US,ana,New Junk City,,36.8,12.2
US,ana,Esperança,,36.3,17.4
EU,ana,Junkertown,,57.7,38.7
EU,ana,Route 66,,56.5,39.5
EU,ana,Paraíso,,53.7,42.1
EU,ana,Dorado,,53.6,40.8
EU,ana,Rialto,,50.7,42.3
EU,ana,King's Row,,50.2,32.4
EU,ana,Hollywood,,49.4,40.7
EU,ana,New Junk City,,49.4,16.2
EU,ana,Havana,,49.3,40.6
EU,ana,Midtown,,48.8,31.6
EU,ana,Shambali Monastery,,47.3,32.9
EU,ana,Busan,,47.2,28.7
EU,ana,Circuit Royal,,47.0,37.3
EU,ana,Eichenwalde,,46.3,27.2
EU,ana,Blizzard World,,46.2,40.0
EU,ana,Samoa,,46.0,27.0
EU,ana,Watchpoint: Gibraltar,,46.0,45.4
EU,ana,Runasapi,,45.9,19.4
EU,ana,Colosseo,,45.6,28.4
EU,ana,New Queen Street,,45.5,26.3
EU,ana,Aatlis,,45.3,16.2
EU,ana,Ilios,,45.1,22.5
EU,ana,Nepal,,45.0,22.3
